id,school_name,city,state
1,"Episcopal, TX",,Country
2,"W.T. White (TX)",,Country
3,"SW Atlanta Christian GA",,Country
4,"Example Academy IL",,Country
5,"Glenbrook South IL",,Country
6,"Winter Haven FL",,Country
7,"Fort Erie Inter Academy ONT",,Country
8,"AZ Compass Prep AZ",,Country
9,"Bishop McNamara MD",,Country
10,"St. Thomas Aquinas FL",,Country
11,"Duncanville TX",,Country
12,"Duncanville, TX",,Country
13,"Bishop McNamara, MD",,Country
14,"ACF, FL",,Country
15,"Royal Crown, ONT",,Country
16,"Royal Crown, ON",,Country
17,"Capital Court, ONT",,Country
18,"Walker, LA",,Country
19,"Lafayette Christian, LA",,Country
20,"Kings Christian Collegiate, ONT",,Country
21,"Legacy Early College, SC",,Country
22,"IMG Academy, FL",,Country
23,"Rigby, ID",,Country
24,"Greenforest, GA",,Country
25,"Winston Salem Christian, NC",,Country
26,"South Shore, NY",,Country
27,"Harrison Central, MS",,Country
28,"Sierra Canyon, CA",Chatsworth,CA
29,"Folsom, CA",,Country
30,"Hagarity, FL",,FL
31,"Lone Peak, UT",,Country
32,"NCGBB, NC",,NC
33,"Providence, NC",,NC
34,"Taylor, TX",,TX
35,"Berean Christian, CA",,Country
36,"Lahainaluna, HI",,HI
37,"United Township, IL",,IL
38,"Bishop McGuinness Catholic, NC",,NC
39,"Renaissance, MI",,MI
40,"Butler Traditional, KY",,KY
41,"Tilton School, NH",,Country
42,"Andover, KS",,Country
43,"Georgetown Visitation, DC",,Country
44,"Washburn Rural, KS",Topeka,KS
45,"Carroll County, VA",,VA
46,"The Pingry School",,NJ
47,"Maple Grove, MN",,MN
48,"DME Academy, FL",,Country
49,"DME Academy, FL","Daytona Beach",FL
50,"Lakeville North, MN",Lakeville,MN
51,"Cleveland, TN",Cleveland,TN
52,"Benlide St. Margaret's, MN","St Louis Park",MN
53,"Mahtomedi, MN",Oakdale,MN
54,"Boise, ID",Boise,ID
55,"Hardaway, GA",Columbus,GA
56,"Noble & Greenough, MA",,MA
57,"Gill St Bernard School, NJ",,NJ
58,Wayne,Lavalette,WV
59,"Central Pointe Christian, FL",Orlando,FL
60,"Central Pointe, FL",Orlando,FL
61,"Oakland Tech, CA",,Country
62,"Denver East, CO",Denver,CO
63,Kiefer,"Kiefer, OK",OK
64,"Monterey, TX",Lubbock,TX
65,"Buena Park, CA",,CA
66,"Long Island Lutheran, NY",,NY
67,"SFU, CA","San Francisco",CA
68,"Sage Hill, CA","Newport Beach",CA
69,"S3 Academy, VA",,VA
70,"Long Island Lutheran, FL",,NY
71,"Sage Hill, CA",,CA
72,"Detroit Country Day, MI",,MI
73,"Saginaw Heritage, MI",,MI
74,"Piedmont, CA",Leandro,CA
75,"Montverde Academy, FL",Orlando,FL
76,"Stanley Lake",,CO
77,"Roosevelt, CO",,CO
78,"Ishidore Newman, LA",,LA
79,"York Institute, TN",,TN
80,"Mater Dei Catholic, IL","St Rose",IL
81,"Liberty-Benton, OH",,OH
82,"Alief Taylor, TX",,TX
83,"Vandegrift, TX",Austin,TX
84,"Liberty, OR",Hillsboro,OR
85,"Malakoff, TX",Malakoff,TX
86,"St. Francis, GA",Marietta,GA
87,"Big Walnut, OH",,OH
88,"Westtown, PA",Oxford,PA
89,"Western Reserve Academy, OH",Hudson,OH
90,"Sherwood, OR",Sherwood,OR
91,"Peoria, IL",Peoria,IL
92,"East Hickman, TN",Lyles,TN
93,"Shelley, IA",,ID
94,"Brownsburg, IN",Avon,IN
95,"Legion Prep, TX","Little Elm",TX
96,"Mountain Iron-Buhl, MN","Mountain Iron",MN
97,"R. Nelson Snider, IN","Fort Wayne",IN
98,"Putnam Science Academy, CT",Stoughton,MA
99,"Timberlake, FL",Orlando,FL
100,"Trinity Christian, GA",,GA
101,"Altoona, PA",,WI
102,"Niagara Prep, ONT",,Country
103,"Archbishop Mitty, CA",,CA
104,"Mead, WA",Spokane,WA
105,"Lake City, ID",,ID
106,"Bellarmine Prepatory",,WA
107,"Jennings, IN","North Vernon",IN
108,"Central Pointe Christian, FL",,FL
