school,clean_name,clean_city,clean_state,category
"Episcopal, TX",Episcopal,NULL,TX,high_school
"W.T. White (TX)",NULL,NULL,NULL,high_school
"SW Atlanta Christian GA",NULL,NULL,NULL,high_school
"Example Academy IL",NULL,NULL,NULL,high_school
"Glenbrook South IL",NULL,NULL,NULL,high_school
"Winter Haven FL",NULL,NULL,NULL,high_school
"Fort Erie Inter Academy ONT",NULL,NULL,NULL,high_school
"AZ Compass Prep AZ",NULL,NULL,NULL,high_school
"Bishop McNamara MD",NULL,NULL,NULL,high_school
"St. Thomas Aquinas FL",NULL,NULL,NULL,high_school
"Duncanville TX",NULL,NULL,NULL,high_school
"Duncanville, TX",Duncanville,NULL,TX,high_school
"Bishop McNamara, MD","Bishop McNamara",NULL,MD,high_school
"ACF, FL",ACF,NULL,FL,high_school
"Royal Crown, ONT","Royal Crown",NULL,ONT,high_school
"Royal Crown, ON","Royal Crown",NULL,ON,high_school
"Capital Court, ONT","Capital Court",NULL,ONT,high_school
"Walker, LA",Walker,NULL,LA,high_school
"Lafayette Christian, LA","Lafayette Christian",NULL,LA,high_school
"Kings Christian Collegiate, ONT","Kings Christian Collegiate",NULL,ONT,high_school
"Legacy Early College, SC","Legacy Early College",NULL,SC,high_school
"IMG Academy, FL","IMG Academy",NULL,FL,high_school
"Rigby, ID",Rigby,NULL,ID,high_school
"Greenforest, GA",Greenforest,NULL,GA,high_school
"Winston Salem Christian, NC","Winston Salem Christian",NULL,NC,high_school
"South Shore, NY","South Shore",NULL,NY,high_school
"Harrison Central, MS","Harrison Central",NULL,MS,middle_school
"Sierra Canyon, CA","Sierra Canyon",NULL,CA,high_school
"Folsom, CA",Folsom,NULL,CA,high_school
"Hagarity, FL",Hagarity,NULL,FL,high_school
"Lone Peak, UT","Lone Peak",NULL,UT,high_school
"NCGBB, NC",NCGBB,NULL,NC,high_school
"Providence, NC",Providence,NULL,NC,high_school
"Taylor, TX",Taylor,NULL,TX,high_school
"Berean Christian, CA","Berean Christian",NULL,CA,high_school
"Lahainaluna, HI",Lahainaluna,NULL,HI,high_school
"United Township, IL","United Township",NULL,IL,high_school
"Bishop McGuinness Catholic, NC","Bishop McGuinness Catholic",NULL,NC,high_school
"Renaissance, MI",Renaissance,NULL,MI,high_school
"Butler Traditional, KY","Butler Traditional",NULL,KY,high_school
"Tilton School, NH","Tilton School",NULL,NH,high_school
"Andover, KS",Andover,NULL,KS,high_school
